Colony,Fragment,Treatment,Date,Time,F,Fm.,Y.II.
EP ,EP 8,1000,3/27/2017,5,0.1544,0.2319,0.334
EP ,EP 9,1000,3/27/2017,5,0.1583,0.2123,0.254
HP ,HP 8,1000,3/27/2017,5,0.1471,0.25,0.412
HP ,HP 7,1000,3/27/2017,5,0.1387,0.2373,0.415
HP ,HP 12,1000,3/27/2017,5,0.1456,0.2426,0.4
IP ,IP 8,1000,3/27/2017,5,0.1833,0.3564,0.486
IP ,IP 11,1000,3/27/2017,5,0.1525,0.3044,0.499
IP ,IP 1,1000,3/27/2017,5,0.1799,0.348,0.483
JP ,JP 11,1000,3/27/2017,5,0.148,0.2603,0.431
JP ,JP 8,1000,3/27/2017,5,0.173,0.2877,0.399
JP ,JP 5,1000,3/27/2017,5,0.1833,0.3206,0.428
KP ,KP 12,1000,3/27/2017,5,0.1922,0.2971,0.353
KP ,KP 9,1000,3/27/2017,5,0.1314,0.227,0.421
KP ,KP 6,1000,3/27/2017,5,0.1794,0.3363,0.466
