Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
,EP 2,100,3/27/2017,4,0.1495,0.2735,0.453,
,EP 4,100,3/27/2017,4,0.1529,0.2721,0.438,
,HP 3,100,3/27/2017,4,0.1838,0.2971,0.381,
,HP 1,100,3/27/2017,4,0.1441,0.2363,0.39,
,HP 10,100,3/27/2017,4,0.1652,0.2951,0.44,
,IP 13,100,3/27/2017,4,0.1775,0.4069,0.564,
,IP 6,100,3/27/2017,4,0.1397,0.3181,0.561,
,IP 2,100,3/27/2017,4,0.1647,0.3711,0.556,
,JP 7,100,3/27/2017,4,0.1824,0.3632,0.498,
,JP 1,100,3/27/2017,4,0.1417,0.2922,0.515,
,JP 6,100,3/27/2017,4,0.1691,0.3314,0.49,
,KP 5,100,3/27/2017,4,0.1583,0.3618,0.562,
,KP 2,100,3/27/2017,4,0.1412,0.2882,0.51,
,KP 10,100,3/27/2017,4,0.1632,0.3309,0.507,
,DP 6,400,3/27/2017,4,0.198,0.3162,0.374,
,DP 3,400,3/27/2017,4,0.1417,0.2574,0.45,
,DP 9,400,3/27/2017,4,0.1745,0.2779,0.372,
,EP 10,400,3/27/2017,4,0.1176,0.1995,0.41,
,EP 3,400,3/27/2017,4,0.152,0.2529,0.399,
,EP 11,400,3/27/2017,4,0.1387,0.2397,0.421,
,HP 4,400,3/27/2017,4,0.2,0.3897,0.487,
,HP 9,400,3/27/2017,4,0.1309,0.2407,0.456,
,HP 5,400,3/27/2017,4,0.1789,0.3515,0.491,
,IP 7,400,3/27/2017,4,0.1054,0.198,0.468,
,IP 10,400,3/27/2017,4,0.1431,0.2799,0.489,
,IP 5,400,3/27/2017,4,0.1725,0.3265,0.471,
,JP 2,400,3/27/2017,4,0.176,0.4167,0.578,
,JP 9,400,3/27/2017,4,0.1363,0.3015,0.548,
,JP 4,400,3/27/2017,4,0.1603,0.3515,0.544,
,KP 8,400,3/27/2017,4,0.1814,0.3314,0.453,
,KP 7,400,3/27/2017,4,0.1495,0.2721,0.45,
